budget,original_language,revenue,runtime,vote_average,vote_count
120000000.0,en,609016565.0,127.0,7.2,5797.0
110000000.0,en,228738393.0,114.0,5.2,1712.0
120000000.0,en,415484914.0,123.0,5.9,2341.0
120000000.0,en,259175788.0,106.0,5.2,914.0
130000000.0,en,403170142.0,124.0,6.3,5080.0
120000000.0,en,169956806.0,78.0,5.4,613.0
115000000.0,en,286140700.0,109.0,6.4,3439.0
105000000.0,en,115772733.0,119.0,6.3,1570.0
120000000.0,en,242688965.0,102.0,5.7,2342.0
120000000.0,en,93945766.0,135.0,5.7,354.0
120000000.0,en,48668907.0,121.0,4.9,223.0
117000000.0,en,261930431.0,109.0,5.9,1547.0
120000000.0,en,286168572.0,124.0,6.4,4800.0
113000000.0,en,850000000.0,140.0,7.1,4116.0
120000000.0,en,649398328.0,142.0,6.4,3992.0
115000000.0,en,562816256.0,92.0,7.5,5996.0
120000000.0,en,415440673.0,126.0,6.3,4053.0
115000000.0,en,924317558.0,136.0,6.3,4432.0
135000000.0,en,585178928.0,98.0,6.8,2399.0
97250400.0,fr,132900000.0,116.0,5.0,471.0
115000000.0,en,77628265.0,134.0,5.8,341.0
115000000.0,en,164602163.0,114.0,6.0,1523.0
125000000.0,en,477200000.0,101.0,5.8,2636.0
105000000.0,en,716392705.0,91.0,7.3,5751.0
116000000.0,en,178127760.0,108.0,5.7,428.0
135000000.0,en,245623848.0,112.0,5.8,963.0
120000000.0,en,167977596.0,100.0,4.4,2278.0
110000000.0,en,574480841.0,108.0,6.3,2862.0
110000000.0,en,470490832.0,114.0,6.0,2968.0
110000000.0,en,333011068.0,119.0,6.0,925.0
110000000.0,en,215294342.0,165.0,6.8,1099.0
110000000.0,en,362744280.0,125.0,6.4,2124.0
110000000.0,en,478207520.0,120.0,6.5,2965.0
110000000.0,en,295238201.0,119.0,6.2,3829.0
116000000.0,en,102000000.0,170.0,7.0,1489.0
112000000.0,en,237382724.0,85.0,4.9,621.0
120000000.0,en,227817248.0,119.0,5.5,1251.0
110000000.0,en,337580051.0,102.0,6.1,2397.0
110000000.0,en,563749323.0,103.0,5.5,1179.0
110000000.0,en,103951461.0,76.0,5.7,389.0
110000000.0,en,179246868.0,121.0,5.9,1998.0
110000000.0,en,299268508.0,127.0,6.6,2692.0
105000000.0,en,347434178.0,105.0,5.5,695.0
160000000.0,en,164508066.0,121.0,4.1,434.0
110000000.0,en,125537191.0,114.0,6.6,2303.0
110000000.0,en,383531464.0,128.0,6.4,2089.0
93000000.0,en,871368364.0,178.0,8.0,8705.0
110000000.0,en,72178895.0,120.0,5.7,672.0
107000000.0,en,87713825.0,157.0,6.7,447.0
0.0,en,0.0,82.0,4.9,366.0
120000000.0,en,347234916.0,115.0,6.7,3793.0
130000000.0,en,211643158.0,144.0,6.6,1157.0
133000000.0,en,300135367.0,84.0,5.8,959.0
105000000.0,en,267045765.0,97.0,6.7,1247.0
108000000.0,en,630161890.0,141.0,7.6,7268.0
126000000.0,en,162949164.0,136.0,6.5,1770.0
90000000.0,en,10372291.0,104.0,3.7,16.0
90000000.0,en,237202299.0,118.0,6.1,1485.0
103000000.0,en,457640427.0,155.0,7.9,5439.0
102000000.0,en,358372926.0,145.0,7.1,2608.0
100000000.0,en,876688482.0,161.0,7.4,5815.0
150000000.0,en,599045960.0,144.0,7.3,3855.0
100000000.0,en,362211740.0,119.0,5.6,1243.0
100000000.0,en,520000000.0,137.0,7.7,4185.0
80000000.0,en,214104620.0,140.0,6.5,1344.0
100000000.0,en,266465037.0,157.0,7.4,1502.0
115000000.0,en,378882411.0,141.0,6.8,1116.0
100000000.0,en,150166126.0,106.0,6.2,954.0
100000000.0,en,310650585.0,98.0,5.4,1060.0
100000000.0,en,170432927.0,107.0,6.1,1383.0
100000000.0,en,242295562.0,115.0,5.6,543.0
100000000.0,en,425368238.0,165.0,7.8,10099.0
100000000.0,en,100138851.0,91.0,6.8,1129.0
100000000.0,en,169327687.0,78.0,7.2,1490.0
100000000.0,en,312573423.0,103.0,6.1,2896.0
100000000.0,en,347451894.0,131.0,6.4,1926.0
100000000.0,en,249288105.0,104.0,4.9,967.0
100000000.0,en,100086793.0,101.0,6.4,572.0
100000000.0,en,268426634.0,102.0,6.4,1121.0
100000000.0,en,278731369.0,103.0,6.0,1699.0
100000000.0,en,211989043.0,121.0,5.5,482.0
100000000.0,en,170877916.0,143.0,7.3,2281.0
100000000.0,en,392000694.0,180.0,7.9,6571.0
100000000.0,en,336529144.0,121.0,5.2,1498.0
105000000.0,en,121214377.0,129.0,6.7,1560.0
102000000.0,en,130482868.0,172.0,6.6,2977.0
80000000.0,en,140073390.0,97.0,6.5,703.0
100000000.0,en,82102379.0,104.0,4.2,808.0
100000000.0,en,243400000.0,99.0,5.6,1680.0
140000000.0,en,109578115.0,95.0,7.2,948.0
100000000.0,en,68688831.0,102.0,5.3,381.0
90000000.0,en,206172544.0,127.0,6.1,1795.0
105000000.0,en,133718711.0,114.0,5.5,783.0
84000000.0,en,0.0,94.0,3.6,338.0
100000000.0,en,93820758.0,122.0,6.5,1276.0
100000000.0,en,7103973.0,95.0,4.4,142.0
100000000.0,en,94882889.0,115.0,6.4,717.0
99000000.0,en,246233113.0,88.0,6.5,604.0
10000000.0,en,13835130.0,110.0,7.1,73.0
98000000.0,en,433013274.0,130.0,6.0,2206.0
100000000.0,en,193772504.0,167.0,7.1,1910.0
94000000.0,zh,95311434.0,145.0,7.1,187.0
85000000.0,en,149044513.0,85.0,5.9,601.0
90000000.0,en,102000000.0,93.0,5.4,334.0
92000000.0,en,172989651.0,144.0,7.2,1811.0
0.0,en,104907746.0,85.0,5.6,578.0
90000000.0,en,263920180.0,126.0,7.3,3885.0
100000000.0,en,288347692.0,146.0,5.4,426.0
95000000.0,en,76432727.0,89.0,7.0,858.0
95000000.0,en,877244782.0,88.0,6.2,2672.0
95000000.0,en,543514353.0,105.0,6.7,2374.0
65000000.0,en,93525586.0,136.0,6.6,1065.0
94000000.0,en,940335536.0,100.0,7.6,6122.0
94000000.0,en,1118888979.0,201.0,8.1,8064.0
79000000.0,en,926287400.0,179.0,8.0,7487.0
95000000.0,en,114178613.0,102.0,5.2,957.0
115000000.0,en,274703340.0,100.0,5.7,2192.0
100000000.0,en,103039258.0,119.0,5.9,2295.0
93000000.0,en,368780809.0,92.0,5.7,2077.0
93000000.0,en,482860185.0,105.0,7.0,4347.0
90000000.0,en,162839667.0,95.0,6.3,572.0
92000000.0,en,304654182.0,98.0,5.2,3493.0
145000000.0,en,25819961.0,137.0,5.8,106.0
92000000.0,en,631442092.0,115.0,7.4,5152.0
98000000.0,en,10017322.0,119.0,5.7,136.0
95000000.0,en,226497209.0,118.0,6.0,2010.0
90000000.0,en,589390539.0,98.0,6.9,4412.0
90000000.0,en,497366869.0,92.0,7.3,3806.0
100000000.0,en,167805466.0,98.0,6.3,1165.0
90000000.0,en,347325802.0,90.0,6.4,1054.0
100000000.0,en,155464351.0,130.0,6.3,488.0
100000000.0,en,242988466.0,90.0,6.5,1747.0
90000000.0,en,886686817.0,94.0,6.5,2271.0
90000000.0,en,188133322.0,114.0,7.0,3144.0
92000000.0,en,264105545.0,98.0,5.6,1232.0
90000000.0,en,289847354.0,151.0,7.9,4339.0
90000000.0,en,304320254.0,88.0,7.6,2008.0
92000000.0,en,188072649.0,107.0,6.5,1667.0
90000000.0,en,232617430.0,158.0,7.2,2434.0
90000000.0,en,366101666.0,128.0,6.9,2066.0
90000000.0,en,524028679.0,128.0,7.0,5766.0
100000000.0,en,94061311.0,125.0,5.3,621.0
120000000.0,en,186053725.0,95.0,6.7,1224.0
0.0,en,233755553.0,92.0,5.8,428.0
75000000.0,en,200276000.0,121.0,6.7,1173.0
90000000.0,en,201596308.0,113.0,5.5,1048.0
88000000.0,en,243637091.0,105.0,5.6,2513.0
100000000.0,en,235926552.0,146.0,6.8,1974.0
90000000.0,en,182290266.0,99.0,5.2,466.0
90000000.0,en,171120329.0,150.0,7.2,1308.0
95000000.0,en,190213455.0,112.0,5.6,634.0
80000000.0,en,162944923.0,128.0,6.2,392.0
90000000.0,en,174578751.0,106.0,5.9,1648.0
95000000.0,en,156505388.0,117.0,5.5,1418.0
90000000.0,en,334901337.0,129.0,6.7,3235.0
68000000.0,en,118063304.0,116.0,5.9,302.0
92000000.0,en,143049560.0,126.0,6.8,579.0
90000000.0,en,60874615.0,114.0,5.7,369.0
90000000.0,en,484635760.0,96.0,6.5,2166.0
100000000.0,en,93700000.0,131.0,6.9,963.0
90000000.0,en,0.0,104.0,5.2,376.0
90000000.0,en,140807547.0,107.0,5.9,290.0
100000000.0,en,35168966.0,138.0,6.1,264.0
20000000.0,en,79114085.0,129.0,6.6,650.0
88000000.0,en,108539911.0,144.0,7.3,616.0
90000000.0,en,16178959.0,110.0,5.4,50.0
87000000.0,en,148336445.0,141.0,6.7,216.0
92000000.0,en,494471524.0,113.0,6.1,950.0
90000000.0,en,429632142.0,143.0,7.5,3218.0
100000000.0,en,384335608.0,108.0,5.9,1410.0
75000000.0,en,288500217.0,108.0,7.2,2825.0
85000000.0,en,315156409.0,124.0,6.2,840.0
85000000.0,en,450717150.0,116.0,7.2,3783.0
75000000.0,en,132274484.0,110.0,5.6,924.0
85000000.0,en,358375603.0,91.0,6.8,2566.0
85000000.0,en,340487652.0,107.0,6.6,1449.0
85000000.0,en,208076205.0,115.0,6.3,1345.0
85000000.0,en,183611771.0,100.0,5.1,313.0
75000000.0,en,152930623.0,104.0,5.8,932.0
85000000.0,en,194168700.0,136.0,6.7,1225.0
90000000.0,en,250649836.0,132.0,6.7,1240.0
85000000.0,en,219103655.0,121.0,6.2,360.0
85000000.0,en,311312624.0,122.0,6.5,1999.0
85000000.0,en,197309027.0,83.0,6.1,656.0
85000000.0,en,288747895.0,139.0,6.9,4663.0
68000000.0,en,96976270.0,131.0,7.2,999.0
85000000.0,en,80916492.0,104.0,6.4,514.0
85000000.0,en,137298489.0,130.0,6.1,712.0
85000000.0,en,162242962.0,145.0,7.3,652.0
85000000.0,en,158468292.0,104.0,6.1,1705.0
0.0,en,0.0,97.0,6.7,333.0
90000000.0,en,142940100.0,178.0,6.9,1147.0
85000000.0,en,78382433.0,108.0,5.5,427.0
0.0,en,37823676.0,123.0,7.3,85.0
85000000.0,en,183018522.0,106.0,5.5,1114.0
60000000.0,en,47664559.0,112.0,7.2,2126.0
60000000.0,en,74208267.0,136.0,5.4,516.0
84000000.0,en,123307945.0,106.0,4.7,332.0
84000000.0,en,275650703.0,88.0,5.4,820.0
50000000.0,en,41037742.0,95.0,6.6,1940.0
82500000.0,en,237681299.0,107.0,6.0,2104.0
8000000.0,en,21028755.0,120.0,6.7,226.0
85000000.0,en,112483764.0,82.0,4.9,119.0
85000000.0,en,222231186.0,88.0,5.9,1799.0
85000000.0,en,160388063.0,120.0,6.5,1527.0
65000000.0,en,84785914.0,157.0,7.3,2023.0
82000000.0,en,96085477.0,123.0,5.7,595.0
80000000.0,en,484572835.0,101.0,6.4,3012.0
80000000.0,en,274470394.0,103.0,6.0,2926.0
80000000.0,en,457696359.0,110.0,6.7,2631.0
75000000.0,en,691210692.0,142.0,6.9,9455.0
80000000.0,en,254455986.0,102.0,6.2,3739.0
80000000.0,en,280000000.0,126.0,6.6,1673.0
80000000.0,en,343397247.0,83.0,6.3,1074.0
80000000.0,en,145771527.0,85.0,7.1,1314.0
85000000.0,en,144000000.0,97.0,5.8,288.0
75000000.0,en,140464664.0,120.0,5.9,855.0
84000000.0,en,0.0,116.0,6.4,1526.0
82000000.0,en,190320568.0,113.0,6.2,785.0
75000000.0,en,342695435.0,87.0,5.4,484.0
80000000.0,en,246984278.0,100.0,5.8,1155.0
80000000.0,en,230685453.0,110.0,6.0,1051.0
80000000.0,en,266728738.0,128.0,6.3,410.0
80000000.0,en,294804195.0,138.0,7.8,6336.0
80000000.0,en,163733697.0,88.0,5.3,331.0
75000000.0,en,260696994.0,91.0,6.0,1333.0
80000000.0,en,245676146.0,138.0,6.8,1583.0
80000000.0,en,212874442.0,99.0,5.9,901.0
80000000.0,en,181001478.0,117.0,7.3,1077.0
80000000.0,en,214918407.0,117.0,6.3,1543.0
75000000.0,en,224012234.0,115.0,6.5,1270.0
80000000.0,en,178066569.0,118.0,6.3,1018.0
79000000.0,en,173013509.0,154.0,6.7,533.0
80000000.0,en,157107755.0,118.0,6.6,2164.0
80000000.0,en,177977226.0,93.0,5.3,695.0
80000000.0,en,91188905.0,113.0,5.2,369.0
80000000.0,en,250200000.0,88.0,6.5,1288.0
0.0,en,0.0,93.0,5.6,550.0
80000000.0,en,233093859.0,104.0,5.2,1043.0
75000000.0,en,136982834.0,135.0,6.5,431.0
68000000.0,en,211817906.0,135.0,7.4,3946.0
70000000.0,en,164000000.0,98.0,5.6,332.0
80000000.0,en,201584141.0,80.0,5.2,220.0
80000000.0,en,122563539.0,83.0,7.4,831.0
80000000.0,en,169852759.0,102.0,5.3,498.0
80000000.0,en,136159423.0,130.0,5.0,388.0
80000000.0,en,96105964.0,129.0,6.2,393.0
0.0,en,0.0,117.0,8.0,1.0
80000000.0,en,473226958.0,89.0,6.7,1497.0
80000000.0,en,90874570.0,74.0,7.0,292.0
80000000.0,en,123729176.0,96.0,5.8,631.0
90000000.0,en,0.0,114.0,5.9,208.0
102000000.0,en,147080413.0,99.0,6.1,932.0
75000000.0,en,142400065.0,129.0,5.9,893.0
85000000.0,en,71485043.0,113.0,6.8,577.0
85000000.0,en,0.0,90.0,5.2,438.0
88000000.0,en,105316267.0,118.0,5.6,818.0
70000000.0,en,101371017.0,106.0,6.1,1509.0
0.0,fr,0.0,81.0,6.4,47.0
0.0,en,43312294.0,117.0,6.7,349.0
80000000.0,en,122444772.0,89.0,5.9,1195.0
80000000.0,en,34566746.0,145.0,6.9,189.0
80000000.0,en,159212469.0,115.0,5.8,378.0
80000000.0,en,126546518.0,87.0,5.2,133.0
44000000.0,en,21400000.0,118.0,3.0,255.0
80000000.0,en,68514844.0,90.0,5.6,297.0
80000000.0,en,53825515.0,112.0,5.1,165.0
80000000.0,en,19480739.0,116.0,5.4,318.0
80000000.0,en,17626234.0,177.0,6.1,299.0
90000000.0,en,69131860.0,92.0,5.2,305.0
90000000.0,en,146936910.0,106.0,5.7,1316.0
80000000.0,en,33463969.0,106.0,5.4,267.0
86000000.0,en,107944236.0,94.0,6.0,639.0
0.0,en,19406406.0,84.0,7.3,111.0
80000000.0,en,5989640.0,110.0,4.8,111.0
130000000.0,en,117831631.0,105.0,5.2,1267.0
8000000.0,es,0.0,89.0,5.3,9.0
60000000.0,en,313542341.0,135.0,7.7,3009.0
45000000.0,en,788241776.0,89.0,8.0,5376.0
79000000.0,en,355692760.0,94.0,5.8,1030.0
78000000.0,en,248384621.0,95.0,6.4,915.0
78000000.0,en,209196298.0,124.0,6.7,1115.0
100000000.0,en,108103450.0,136.0,6.5,318.0
79000000.0,en,149673788.0,91.0,4.1,604.0
76000000.0,en,236350661.0,107.0,6.2,2028.0
64000000.0,en,97571250.0,92.0,7.6,756.0
80000000.0,en,15071514.0,99.0,5.7,359.0
76000000.0,en,35134820.0,88.0,3.9,87.0
75000000.0,en,875958308.0,87.0,5.9,3462.0
78000000.0,en,179265204.0,110.0,5.7,1155.0
76000000.0,en,970761885.0,98.0,7.0,4637.0
75000000.0,en,816969268.0,145.0,6.7,3260.0
73000000.0,en,229074524.0,129.0,6.2,2487.0
75000000.0,en,532680671.0,86.0,6.6,3237.0
76000000.0,en,69959751.0,109.0,7.4,2071.0
75000000.0,en,296339527.0,104.0,6.8,4097.0
75000000.0,en,258270008.0,110.0,6.4,2528.0
75000000.0,en,335062621.0,136.0,6.9,1456.0
80000000.0,en,660940780.0,91.0,6.5,2951.0
75000000.0,en,196482882.0,99.0,6.6,2105.0
50000000.0,en,90450008.0,117.0,6.5,709.0
80000000.0,en,78000586.0,114.0,4.7,183.0
75000000.0,en,0.0,78.0,4.3,318.0
75000000.0,en,117698894.0,115.0,7.3,5487.0
80000000.0,en,271430189.0,102.0,6.0,1705.0
60000000.0,en,219417255.0,128.0,7.0,1910.0
35000000.0,en,73034460.0,100.0,5.7,202.0
