m2,price
284.01147,24173.309
303.09454,27508.416
1171.3754,71422.69
707.0201,46183.652
579.79944,38380.797
1034.6132,61673.723
942.37823,49964.43
802.43555,51601.348
1126.8481,72089.375
217.22063,20311.283
446.21777,29803.586
131.34671,16701.658
430.3152,28128.889
936.0172,54958.844
99.54155,19598.133
824.69916,47567.332
487.56448,35129.055
166.33238,14153.431
185.41547,15574.53
334.89972,28280.57
687.93695,52989.387
675.2149,45915.266
1120.487,68992.83
983.7249,65304.0
875.5874,51920.92
150.4298,19352.46
1040.9742,63737.293
1047.3352,64229.793
668.8539,36420.438
1079.1404,71456.875
344.44125,28779.9
252.2063,22307.164
96.36103,21216.69
124.98567,19518.156
420.77365,35704.215
913.7536,57485.266
363.52435,25995.205
121.80516,21730.973
204.49857,28202.867
1149.1117,69715.016
274.4699,19391.742
220.40115,21430.97
134.52722,14948.576
582.9799,39064.24
249.02579,26535.549
754.7278,46505.797
964.64185,64209.668
961.4613,67028.555
1139.5702,60020.094
1091.8624,67296.4
1180.9169,77118.89
481.20343,32496.512
796.0745,43425.312
945.5587,60283.875
287.192,23974.342
926.47565,59049.137
993.2665,65113.707
503.46704,40162.105
684.7565,40350.48
163.15186,22083.52
226.76218,22146.945
90.0,15023.272
729.2837,44000.594
1028.2522,63116.91
401.69055,30486.73
656.1318,43978.977
904.21204,55335.145
388.96848,30904.625
1114.1261,60981.43
392.149,36155.016
1063.2378,58631.35
627.50714,38863.312
309.4556,27862.38
242.66475,20879.781
748.36676,49654.04
811.97705,41640.145
560.7163,42349.902
544.8138,34384.38
662.49286,38332.22
506.64755,32576.598
1082.3209,60787.2
1196.8195,76566.49
923.2951,56408.0
735.6447,50207.406
357.16333,31003.541
474.8424,32490.148
1044.1548,65738.664
1110.9456,63894.96
379.42694,29047.238
350.8023,26771.916
939.1977,55787.414
468.48138,34994.848
1015.5301,61376.73
271.2894,20031.014
907.3926,48563.863
1075.9598,69379.04
223.58167,22647.56
423.95416,31354.828
958.2808,57075.13
1069.5989,60763.312
210.8596,24248.016
258.56732,23651.053
1050.5157,68911.17
497.10602,34036.5
1012.34955,58497.74
179.05444,18563.457
672.03436,41511.69
608.4241,43781.062
570.2579,34761.727
866.04584,58805.625
732.4642,51689.863
188.596,19456.52
191.7765,19417.379
493.9255,45723.168
678.3954,39292.91
1123.6676,64628.5
1005.9885,62116.61
1098.2235,71103.06
557.5358,40503.605
996.447,51199.875
1187.278,69588.555
652.9513,38365.07
404.87106,33723.777
716.5616,52392.49
862.86536,55920.438
455.7593,35165.37
932.8367,68291.65
318.99713,35773.508
169.5129,20728.693
614.7851,43382.97
1155.4728,67431.914
643.4097,44368.47
1161.8339,69362.71
214.04012,25409.639
703.83954,40726.082
1088.682,63793.87
369.88538,33253.543
312.6361,29227.99
366.70486,35179.824
1018.7106,67336.664
859.6848,54640.52
971.00287,57020.47
761.0888,53255.633
118.62464,17538.63
710.20056,44464.06
888.30945,59696.465
1117.3066,64309.445
700.659,45619.223
462.12033,33958.47
239.48424,28292.686
637.0487,47218.96
